created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-10-01 00:00:00 UTC,21.57,30.18,31.71,1193.58,-59.42,86.15,59.95,25.50,
2020-10-02 00:00:00 UTC,24.47,34.09,35.79,1641.80,-59.75,85.31,56.82,27.53,
2020-10-03 00:00:00 UTC,18.77,26.18,27.58,1215.00,-59.85,85.68,56.62,21.90,
2020-10-04 00:00:00 UTC,29.92,40.47,40.74,2655.00,-60.68,91.63,50.87,32.87,
2020-10-05 00:00:00 UTC,26.30,37.18,39.76,702.45,-60.80,88.02,55.50,29.13,
2020-10-06 00:00:00 UTC,42.05,60.06,63.65,330.70,-68.40,84.40,63.31,44.92,
2020-10-07 00:00:00 UTC,14.51,21.49,22.93,803.80,-77.30,84.73,58.38,20.24,
2020-10-08 00:00:00 UTC,15.89,21.86,22.92,482.52,-77.38,88.66,54.22,21.13,
2020-10-09 00:00:00 UTC,22.94,31.64,33.21,721.73,-78.28,86.36,58.81,27.56,
2020-10-10 00:00:00 UTC,15.66,21.58,22.77,1717.92,-78.12,83.54,59.04,18.97,
2020-10-11 00:00:00 UTC,16.75,22.78,23.94,2145.95,-76.78,88.02,56.35,21.04,
2020-10-12 00:00:00 UTC,17.81,25.14,26.39,717.50,-78.95,88.44,57.33,23.73,
2020-10-13 00:00:00 UTC,24.47,34.75,37.37,563.46,-78.18,87.43,57.75,31.58,
2020-10-14 00:00:00 UTC,18.30,26.07,27.83,1484.05,-76.87,84.14,59.22,23.24,
2020-10-15 00:00:00 UTC,20.12,29.15,31.39,2921.12,-78.09,86.66,57.32,26.84,
2020-10-16 00:00:00 UTC,23.39,33.79,35.83,4215.28,-79.96,86.52,59.09,30.08,
2020-10-17 00:00:00 UTC,13.71,19.30,20.33,756.07,-79.63,85.26,58.73,18.38,
2020-10-18 00:00:00 UTC,21.89,30.94,32.65,2196.79,-79.78,89.61,55.23,26.50,
2020-10-19 00:00:00 UTC,25.43,35.33,37.27,3637.02,-80.02,89.43,52.55,30.68,
2020-10-20 00:00:00 UTC,33.25,46.89,50.14,5077.68,-77.44,90.28,49.59,37.55,
2020-10-21 00:00:00 UTC,43.73,61.16,64.81,904.94,-76.08,89.60,56.30,45.75,
2020-10-22 00:00:00 UTC,36.30,50.55,53.34,292.93,-79.56,90.48,54.24,40.22,
2020-10-23 00:00:00 UTC,40.12,56.17,59.38,421.01,-78.89,92.85,52.08,43.34,
2020-10-24 00:00:00 UTC,42.98,59.98,63.24,870.43,-77.83,91.58,54.13,45.34,
2020-10-25 00:00:00 UTC,40.97,58.93,62.94,1177.96,-78.64,90.59,53.33,44.82,
2020-10-26 00:00:00 UTC,35.63,51.79,56.38,2628.35,-78.75,89.94,49.72,40.85,
2020-10-27 00:00:00 UTC,34.75,51.09,56.03,785.20,-77.15,91.29,45.86,39.18,
2020-10-28 00:00:00 UTC,37.37,54.68,61.15,1354.99,-77.01,92.57,41.86,40.08,
2020-10-29 00:00:00 UTC,34.23,50.13,56.29,785.57,-76.77,93.74,44.76,40.13,
2020-10-30 00:00:00 UTC,38.99,55.21,59.98,2012.38,-78.03,93.77,41.75,41.67,
2020-10-31 00:00:00 UTC,38.86,56.41,62.37,367.67,-77.82,93.34,38.83,42.14,
2020-11-01 00:00:00 UTC,35.75,55.01,63.93,1705.10,-77.23,93.04,33.31,40.87,
2020-11-02 00:00:00 UTC,37.88,60.03,69.53,1648.32,-76.69,91.39,39.05,44.58,
2020-11-03 00:00:00 UTC,33.49,50.08,57.14,1377.55,-74.74,92.48,30.61,38.80,
2020-11-04 00:00:00 UTC,41.44,61.45,69.76,1555.95,-75.10,91.24,32.04,45.33,
2020-11-05 00:00:00 UTC,72.94,104.72,114.36,604.00,-75.50,86.00,43.00,68.95,
2020-11-06 00:00:00 UTC,25.22,37.15,41.86,516.35,-79.08,95.94,20.52,29.63,
2020-11-07 00:00:00 UTC,23.29,38.02,46.23,697.73,-75.74,91.50,27.65,33.47,
2020-11-08 00:00:00 UTC,38.73,58.23,65.85,1469.88,-74.98,91.10,37.44,44.57,
2020-11-09 00:00:00 UTC,32.01,49.11,56.48,2145.87,-76.37,92.46,35.95,39.25,
2020-11-10 00:00:00 UTC,13.60,22.07,26.88,86.32,-70.17,99.45,22.81,21.06,
2020-11-11 00:00:00 UTC,34.27,52.07,59.56,81.05,-60.39,94.75,27.48,38.80,
2020-11-12 00:00:00 UTC,25.23,38.34,44.14,225.30,-62.09,92.40,26.46,27.78,
2020-11-13 00:00:00 UTC,22.32,34.34,40.13,468.80,-61.82,92.21,24.49,28.17,
2020-11-14 00:00:00 UTC,30.08,45.74,53.26,560.04,-56.52,93.28,24.88,36.21,
2020-11-15 00:00:00 UTC,33.72,49.70,55.84,407.12,-57.17,92.40,25.98,38.56,
2020-11-16 00:00:00 UTC,31.26,50.34,61.77,1464.38,-57.98,91.66,23.09,39.30,
2020-11-17 00:00:00 UTC,40.79,60.75,69.18,815.42,-59.73,90.81,24.96,46.18,
2020-11-18 00:00:00 UTC,28.08,41.81,46.90,624.86,-63.19,89.86,23.78,32.26,
2020-11-19 00:00:00 UTC,30.54,47.17,54.07,842.29,-65.69,90.34,24.62,36.56,
2020-11-20 00:00:00 UTC,49.12,71.39,79.73,485.60,-64.82,89.58,30.08,51.56